Twitter,BPCE,2017-09-21,RT @89C3: #OpenBanking "il faut avoir confiance aussi dans ce que nous savons faire" @Fred_Burtz #BPCE #RevolutionDigitale https://t.co/0…,average,8,
Twitter,BPCE,2017-09-21,IT-CE se réorganise pour être un acteur clé de la transformation digitale du groupe BPCE : https://t.co/R0yzacjJKz,average,0,
Twitter,BPCE,2017-09-21,IT-CE se réorganise pour être un acteur clé de la transformation digitale du groupe BPCE https://t.co/KNnxSSp6K7,average,0,
Twitter,BPCE,2017-09-20,IT-CE se réorganise pour être un acteur clé de la transformation digitale du groupe BPCE https://t.co/PrClg6o8tU #InfoDSI,average,0,
Twitter,BPCE,2017-09-20,RT @BPCErecrutement: #BPCE SA recrute dans l’#IT ! Une centaine de postes à pourvoir au sein de la #DSI 💻 Toutes les offres ici &gt; https://t…,good,13,
Twitter,BPCE,2017-09-20,Job passionnant chez @GroupeBPCE : "Responsable Entité  Architecture". Postulez @BPCErecrutement !https://t.co/WkDJANjmVF,good,0,
Twitter,BPCE,2017-09-20,Stack Spring JEE sympa cette annonce @BPCErecrutement ! Y a même du #Struts (patché) ! 😉 Coucou #equifax...https://t.co/4BKSUaP3iy,good,0,
Twitter,BPCE,2017-09-20,Bon la BPCE vous me le versez ce capitula décès ? Mon frigo est HS j'ai besoin de votre fric là,good,0,
Twitter,BPCE,2017-09-20,RT @CagnolCh: #RevolutionDigitale @RevueBanque Frédéric Burtz (BPCE) - "Il faut réutiliser les APIs externes" https://t.co/3VqurC4ozP,average,5,
Twitter,BPCE,2017-09-20,RT @89C3: #OpenBanking "il faut avoir confiance aussi dans ce que nous savons faire" @Fred_Burtz #BPCE #RevolutionDigitale https://t.co/0…,average,8,
Twitter,Banque Populaire,2017-09-21,New post: ENTREPRENEURIAT: Partenariat entre la Banque Populaire Centre Atlantique et Adviso partenaires https://t.co/cCmqFbeTw2,good,0,
Twitter,Banque Populaire,2017-09-20,Tarifs de la Banque Populaire du Nord https://t.co/Zoe8iGkjZ2,good,0,
Twitter,Banque Populaire,2017-09-20,RT @BanquePopulaire: Banque Populaire est la 1ère banque qui vous propose le paiement sans contact avec tous les smartphones* ! 📱 https://t…,good,63,
Twitter,Banque Populaire,2017-09-20,@tcalsace Exactement : https://t.co/pKLUEQvG5n,average,0,
Twitter,Banque Populaire,2017-09-20,RT @BanquePopulaire: Banque Populaire est la 1ère banque qui vous propose le paiement sans contact avec tous les smartphones* ! 📱 https://t…,good,63,
Twitter,Banque Populaire,2017-09-20,RT @Mikau71: @Whatsernxme_ Développeur Logiciel pour informatique banque populaire :D,good,1,
Twitter,Banque Populaire,2017-09-20,RT @BanquePopulaire: Banque Populaire est la 1ère banque qui vous propose le paiement sans contact avec tous les smartphones* ! 📱 https://t…,good,63,
Twitter,Banque Populaire,2017-09-20,RT @BanquePopulaire: Banque Populaire est la 1ère banque qui vous propose le paiement sans contact avec tous les smartphones* ! 📱 https://t…,good,63,
Twitter,Banque Populaire,2017-09-20,@Whatsernxme_ Développeur Logiciel pour informatique banque populaire :D,good,2,
Twitter,Banque Populaire,2017-09-20,La Banque populaire Aquitaine Centre Atlantique signe avec Adviso partners https://t.co/AUHarDpYV2 via @LaTribuneBdx,good,2,
Twitter,Caisse Epargne,2017-09-21,RT @thierryce: @Caisse_Epargne dévoilera demain à La #presse un dispositif #reconversion des #sportifs pros inédit.Merci @ffhandball @Bhak1…,good,5,
Twitter,Caisse Epargne,2017-09-21,#Connectwave @Michelin et @Caisse_Epargne vous invite à un Afterwork #ObjetsConnectés le 25 septembre à Marseille https://t.co/VdwoJ4fqQY https://t.co/nvTFa7jben,average,0,
Twitter,Caisse Epargne,2017-09-21,RT @CallMeSH: “La @Caisse_Epargne n’est pas une banque pour les Pros” — @CallMeSH https://t.co/Os5uhkkqLA https://t.co/5rGayIsBg1,average,3,
Twitter,Caisse Epargne,2017-09-21,RT @CEHDF: Parce que nous sommes fiers de notre politique de recrutement voici un aperçu de notre rentrée nouveaux alternants 🎓 https://t.c…,good,6,
Twitter,Caisse Epargne,2017-09-21,RT @CEHDF: Parce que nous sommes fiers de notre politique de recrutement voici un aperçu de notre rentrée nouveaux alternants 🎓 https://t.c…,good,6,
Twitter,Caisse Epargne,2017-09-21,RT @CE_CEPAC: La CEPAC partenaire officiel du @MarsCassis vous offre votre dossards pour courir dans la #TeamCEPAC ! RDV ici ➡️https://t.c…,average,13,
Twitter,Caisse Epargne,2017-09-21,RT @Bordeaux7: #EnviedeQuartier à #Mériadeck  : le bâtiment de la Caisse d'Epargne devient un lieu culturel @bdx_culture https://t.co/8CmbV…,good,3,
Twitter,Caisse Epargne,2017-09-21,RT @Sportmagfr: #Sponsoring : la Caisse d'Epargne mise sur ses Teams !  https://t.co/WmGYCF3rjW https://t.co/bGkWVeBQUs,average,3,
Twitter,Caisse Epargne,2017-09-20,RT @thierryce: @Caisse_Epargne dévoilera demain à La #presse un dispositif #reconversion des #sportifs pros inédit.Merci @ffhandball @Bhak1…,good,5,
Twitter,Caisse Epargne,2017-09-20,RT @CallMeSH: “La @Caisse_Epargne n’est pas une banque pour les Pros” — @CallMeSH https://t.co/Os5uhkkqLA https://t.co/5rGayIsBg1,average,3,
Twitter,Natixis,2017-09-21,RT @phil_waechter: La Fed normalise mais ne devient pas optimiste https://t.co/IdsrbD9PPb,average,2,
Twitter,Natixis,2017-09-21,@AXA @natixis @mabanque_bnpp #gestion d'actifs à 1 milliards d€ @BizStartUpQatar @Boursorama @SocieteGenerale  https://t.co/YH0tTSwA2f,good,0,
Twitter,Natixis,2017-09-21,RT @phil_waechter: La Fed normalise mais ne devient pas optimiste https://t.co/IdsrbD9PPb,average,2,
Twitter,Natixis,2017-09-20,La dette garantie par des actifs est favorable aux assureurs dans le cadre de Solvabilité II https://t.co/UxjXxBCsO7,good,0,
Twitter,Natixis,2017-09-20,RT @PatrickArtus: Y-a-t-il une bulle sur les actions ?https://t.co/vcuaI0D4c7 https://t.co/IqIW6mZfMX,average,7,
Twitter,Natixis,2017-09-20,La Fed normalise mais ne devient pas optimiste https://t.co/IdsrbD9PPb,average,5,
Twitter,Natixis,2017-09-20,RT @brunojacquemin: #TransfoNum #Fintech Crééz plutôt une spinoff from scratch ! @Natixis veut remettre à plat son organisation https://t.c…,bad,1,
Twitter,Natixis,2017-09-20,Axa IM pourrait fusionner avec Natixis et BNP. https://t.co/vmt4nIp4N9,average,0,
Twitter,Natixis,2017-09-20,#TransfoNum #Fintech Crééz plutôt une spinoff from scratch ! @Natixis veut remettre à plat son organisation https://t.co/DIku0ANc4o https://t.co/5qX1TTwveo,bad,3,
Twitter,Natixis,2017-09-20,RT @PatrickArtus: Y-a-t-il une bulle sur les actions ?https://t.co/vcuaI0D4c7 https://t.co/IqIW6mZfMX,average,7,
Twitter,Credit Foncier,2017-09-21,RT @ekiosque: Gabegie au Crédit Foncier du Cameroun : "Un vaste réseau de détournement de fonds est démantelé" A lire sur https://t.co/NGN…,good,1,
Twitter,Credit Foncier,2017-09-20,RT @PBeaubois: Un investissement locatif privé à faire . #Quartus Résidentiel est là pour vous #PINEL #credit foncier https://t.co/gaR9nLpq…,average,1,
Twitter,Credit Foncier,2017-09-20,Un investissement locatif privé à faire . #Quartus Résidentiel est là pour vous #PINEL #credit foncier https://t.co/gaR9nLpqAc,average,4,
Twitter,Credit Foncier,2017-09-20,RT @CFImmob: NOMINATION - Angélique SIBONI nommée Directrice Générale Adjointe de Crédit Foncier Immobilier - Expertise https://t.co/OQf2Ru…,good,1,
Twitter,Credit Foncier,2017-09-20,NOMINATION - Angélique SIBONI nommée Directrice Générale Adjointe de Crédit Foncier Immobilier - Expertise https://t.co/OQf2RuUNWT https://t.co/vixOtNhiD3,good,1,
Twitter,Credit Foncier,2017-09-20,Gabegie au Crédit Foncier du Cameroun : "Un vaste réseau de détournement de fonds est démantelé" A lire sur https://t.co/NGNxHMt4ed https://t.co/MpmRdXXzEZ,good,3,
Twitter,Credit Foncier,2017-09-20,RT @Enfi_Formation: #Immobilier : Le  @CreditFoncier passe l’ #investissement #locatif au scanner https://t.co/g2GkwsqATE,average,1,
Twitter,Credit Foncier,2017-09-20,Le Crédit Foncier passe l’investissement locatif au scanner https://t.co/YSBIpsy5L1,average,0,
Twitter,Credit Foncier,2017-09-20,#Immobilier : Le  @CreditFoncier passe l’ #investissement #locatif au scanner https://t.co/g2GkwsqATE,average,1,
Twitter,Credit Foncier,2017-09-20,Angélique #Siboni continue de gravir les échelons chez @CFImmob - Expertise https://t.co/CVUWorEuQ9,good,0,
Twitter,Credit Cooperatif,2017-09-20,@RARAcoeur @libe D'accord ac vous.D'ailleurs je suis un affreux Macroniste libérale (éco politiq culturel) et pourtant je suis au: https://t.co/tXZ0Qwsk2F,bad,1,
Twitter,Credit Cooperatif,2017-09-20,@dbastide2 @RoseLaloba Pour les particuliers c'est prévu en 2018. Pour l'instant ils sont en partenariat avec le crédit coopératif. https://t.co/gSVRmjNdoU,bad,0,
Twitter,Credit Cooperatif,2017-09-20,RT @Ressol: Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de ... https://t.…,average,1,
Twitter,Credit Cooperatif,2017-09-20,Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de ... https://t.co/nw6a0spx3r,average,1,
Twitter,Credit Cooperatif,2017-09-19,RT @Entrep_sociales: Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de la… h…,average,1,
Twitter,Credit Cooperatif,2017-09-19,Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de la… https://t.co/gxPJlip5Cu,average,2,
Twitter,Credit Cooperatif,2017-09-19,Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de la… https://t.co/iF0L1i5fam,average,0,
Twitter,Credit Cooperatif,2017-09-19,Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de la… https://t.co/OUbvImcGs0,average,0,
Twitter,Credit Cooperatif,2017-09-19,Contribution Volontaire sur les Transactions de Change : le Crédit Coopératif soutient le programme Refugeeks de la Fondation Simplon …,average,0,
Twitter,Credit Cooperatif,2017-09-19,PACTE COOPERATIF : Crédit Agricole Toulouse 31 banque proche et connectée et investit pour mieux servir ses clients. https://t.co/VgWtlA14kf https://t.co/bxJCUBaln3,good,2,
Twitter,BRED,2017-09-21,2002 Nike Air Jordan VII "Raptors" Sz 12.  Vnds.  OG Bred Royal Kaws Supreme https://t.co/9B2w53EiEf,good,0,
Twitter,BRED,2017-09-21,2002 Nike Air Jordan VII "Raptors" Sz 12.  Vnds.  OG Bred Royal Kaws Supreme https://t.co/5EC5X0JunE,good,0,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-21,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,BRED,2017-09-20,RT @Leko_971: Y'a un ouragan qui passe Si vous croyez que ça empêche la BRED de me rappeler que je suis à découvert vous vous trompez,good,304,
Twitter,Casden,2017-09-21,RT @SolidLaique: Les acteurs de l'éducation mobilisés pour les Antilles avec Solidarité Laïque ! @UNSA_Education @Casden_BP @groupe_mgen @M…,average,19,
Twitter,Casden,2017-09-21,RT @SolidLaique: Les acteurs de l'éducation mobilisés pour les Antilles avec Solidarité Laïque ! @UNSA_Education @Casden_BP @groupe_mgen @M…,average,19,
Twitter,Casden,2017-09-21,RT @SolidLaique: Les acteurs de l'éducation mobilisés pour les Antilles avec Solidarité Laïque ! @UNSA_Education @Casden_BP @groupe_mgen @M…,average,19,
Twitter,Casden,2017-09-21,RT @SolidLaique: Les acteurs de l'éducation mobilisés pour les Antilles avec Solidarité Laïque ! @UNSA_Education @Casden_BP @groupe_mgen @M…,average,19,
Twitter,Casden,2017-09-20,RT @SolidLaique: Les acteurs de l'éducation mobilisés pour les Antilles avec Solidarité Laïque ! @UNSA_Education @Casden_BP @groupe_mgen @M…,average,19,
Twitter,Casden,2017-09-20,RT @IsaCoste77: @casden : Réunion plénière BRED...super intervention de Bastien représentant du 77 https://t.co/fZgAictcYS,average,3,
Twitter,Casden,2017-09-20,RT @Delegation65: Convention partenariat CASDEN BP 65 - IA DASEN 65 renouvelée avec le nouvel IA des Hautes-Pyrénées: multiples projets com…,good,2,
Twitter,Casden,2017-09-20,RT @Casden_BP: La CASDEN sera présente aux Assises #Territorialis du @sndgct https://t.co/462bW2Knir,good,6,
Twitter,Casden,2017-09-20,RT @Casden_BP: La CASDEN soutient l'exposition #Transition du @CNES &amp; @OdE_CNES  dans le cadre des @NBParis ! https://t.co/0P7JaZ5cRe,average,1,
Twitter,Casden,2017-09-20,RT @SolidLaique: Les acteurs de l'éducation mobilisés pour les Antilles avec Solidarité Laïque ! @UNSA_Education @Casden_BP @groupe_mgen @M…,average,19,
